股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ000890,法尔胜,3.96,+0.08,2.06%,2.86%,1556153,6137806,0.37%,137.93,,1661235713
SZ000973,佛塑科技,4.48,+0.09,2.05%,1.59%,4447558,19823881,0.46%,36.872,0.848%,4334055806
SZ300320,海达股份,10.94,+0.22,2.05%,6.63%,3292028,35908580,0.66%,65.861,0.229%,6577502050
SZ300183,东软载波,12.92,+0.26,2.05%,7.22%,1641600,21106354,0.49%,38.355,1.161%,5976910050
SZ002119,康强电子,11.97,+0.24,2.05%,4.72%,5819694,69173365,1.59%,29.266,0.418%,4492149480
SH603228,景旺电子,20.96,+0.42,2.04%,3.56%,1638702,34120730.1,0.19%,18.25,1.431%,17758366246
SZ300037,新宙邦,52.04,+1.04,2.04%,19.71%,6437755,328943669,1.2%,20.631,0.723%,38805916437
SZ000851,高鸿股份,5,+0.1,2.04%,3.95%,18009301,89814531,1.64%,28.564,,5789300100
SH603387,基蛋生物,13,+0.26,2.04%,4%,4783733,61876841.91,0.94%,10.615,1.869%,6592995721
SH688519,南亚新材,21.05,+0.42,2.04%,-0.09%,542966,11306732.88,0.59%,37.432,1.188%,4941521180
SZ002222,福晶科技,16.49,+0.33,2.04%,4.24%,4176600,68394925,0.98%,32.391,0.91%,7049475000
SZ300810,中科海讯,17.02,+0.34,2.04%,-1.73%,707000,12005296,0.6%,183.939,0.118%,2009211000
SZ002277,友阿股份,4.01,+0.08,2.04%,-12.25%,23405718,92816873,1.68%,94.761,,5590632928
SH603439,贵州三力,15.02,+0.3,2.04%,9.48%,5399611,80678583.99,3.33%,42.751,,6156130484
SZ301306,西测测试,44.47,+0.89,2.04%,2.96%,277952,12342593,1.39%,45.641,,3753268000
SH688091,上海谊众-U,78.76,+1.57,2.03%,12.84%,1177871,92302234.95,1.18%,94.208,,11332618880
SZ300476,胜宏科技,13.57,+0.27,2.03%,4.87%,6576387,88543758,0.77%,17.016,1.415%,11706684858
SZ002819,东方中科,25.1,+0.5,2.03%,3.76%,1476860,37300291,0.76%,72.66,0.598%,7675426087
SZ300766,每日互动,11.05,+0.22,2.03%,5.24%,4403275,48794192,1.29%,96.346,0.452%,4421105000
SZ300748,金力永磁,31.69,+0.63,2.03%,8.3%,6770850,213240647,0.96%,33.683,0.789%,26554831915
SH688191,智洋创新,13.54,+0.27,2.03%,6.78%,489040,6595187.36,0.69%,45.891,1.108%,2078559886
SH601086,国芳集团,4.02,+0.08,2.03%,-10.67%,3117900,12443576,0.47%,54.01,2.488%,2677320000
SZ000636,风华高科,16.12,+0.32,2.03%,8.7%,7921891,126818727,0.73%,49.527,1.427%,18651052961
SZ002908,德生科技,16.09,+0.32,2.03%,2.48%,3669245,58820887,1.72%,42.657,0.441%,4965437282
SZ301221,光庭信息,42.2,+0.84,2.03%,8.46%,653100,27528077,1.51%,134.199,0.948%,3908661060
SH688028,沃尔德,33.16,+0.66,2.03%,6.04%,297098,9829681.26,0.37%,93.81,0.419%,3633704634
SH688503,聚和材料,156.09,+3.1,2.03%,4.68%,613269,94493584.65,2.58%,47.406,,17468146470
SZ002281,光迅科技,16.59,+0.33,2.03%,5.53%,2093812,34516683,0.31%,19.207,1.025%,11582721890
SZ301297,富乐德,18.69,+0.37,2.02%,24.52%,16572023,304794215,23.64%,71.631,,6324509100
SZ301132,满坤科技,26.29,+0.52,2.02%,3.42%,968206,25366020,2.77%,32.913,,3876986300
SZ300465,高伟达,8.58,+0.17,2.02%,10.14%,7533700,64457614,1.69%,89.554,,3833220165
SZ300674,宇信科技,14.65,+0.29,2.02%,4.27%,4867660,71305262,0.69%,29.506,1.365%,10417494899
SH603955,大千生态,19.7,+0.39,2.02%,6.49%,929500,18172599,0.68%,102.218,,2673684000
SH603896,寿仙谷,42.97,+0.85,2.02%,8.35%,2016989,86359195.83,1.02%,34.741,0.728%,8473827821
SH603690,至纯科技,36.94,+0.73,2.02%,-2.38%,5867557,214671120.27,1.83%,46.326,,11872189968
SH688258,卓易信息,40.58,+0.8,2.01%,-0.78%,1175680,48315281.14,2%,143.047,0.246%,3528698463
SH600171,上海贝岭,18.81,+0.37,2.01%,7.92%,6126343,114387698.44,0.87%,22.565,1.063%,13396076325
SZ300447,全信股份,15.74,+0.31,2.01%,2.21%,1762400,27596675,0.88%,24.961,0.635%,4916048623
SZ300719,安达维尔,11.68,+0.23,2.01%,3.27%,3199050,37116334,1.77%,219.876,0.171%,2982438360
SZ300645,正元智慧,25.91,+0.51,2.01%,2.9%,1085985,28095526,0.79%,45.013,0.232%,3574034779
SZ301085,亚康股份,29.4,+0.58,2.01%,5.53%,576022,16903046,1.81%,31.327,4.252%,2352000000
SZ300158,振东制药,7.1,+0.14,2.01%,-4.7%,28458054,201225016,2.78%,3.146,38.028%,7295212086
SZ000553,安道麦A,9.15,+0.18,2.01%,1.1%,3100600,28181230,0.14%,22.936,0.087%,21317777659
SH600718,东软集团,10.15,+0.2,2.01%,2.01%,7519614,76080084.97,0.62%,10.265,0.601%,12417235493
